HomeTeam,AwayTeam,HxG,AxG
Liverpool,Norwich,2.23456,0.842407
Bournemouth,Sheffield United,1.34099,1.59864
Burnley,Southampton,0.909241,1.08752
Crystal Palace,Everton,0.87159,1.2246
Tottenham,Aston Villa,2.57262,0.639599
Watford,Brighton,0.670022,0.855516
West Ham,Man City,1.2003,3.18377
Leicester,Wolves,0.543759,0.812949
Man United,Chelsea,2.37442,1.09534
Newcastle,Arsenal,0.380551,1.13309
Arsenal,Burnley,1.1644,1.39172
Aston Villa,Bournemouth,1.65069,1.62777
Brighton,West Ham,2.40461,1.00856
Everton,Watford,0.832913,1.17279
Man City,Tottenham,3.20076,0.074542
Norwich,Newcastle,2.09572,0.920429
Southampton,Liverpool,2.14047,1.52022
Chelsea,Leicester,1.22629,0.947941
Sheffield United,Crystal Palace,1.84778,0.241912
Wolves,Man United,0.307356,1.14332
Aston Villa,Everton,0.855926,1.25668
Brighton,Southampton,0.997711,2.07795
Liverpool,Arsenal,2.78821,0.985542
Man United,Crystal Palace,2.23561,0.676993
Norwich,Chelsea,1.07904,1.89428
Sheffield United,Leicester,0.654318,0.704879
Watford,West Ham,2.29348,3.45768
Bournemouth,Man City,1.89345,3.12856
Tottenham,Newcastle,1.25927,0.51428
Wolves,Burnley,1.32793,1.22762
Burnley,Liverpool,0.61739,1.20057
Chelsea,Sheffield United,2.30579,1.04649
Crystal Palace,Aston Villa,1.41394,0.30354
Leicester,Bournemouth,2.23766,0.554726
Man City,Brighton,2.30818,0.861035
Newcastle,Watford,1.04131,1.1068
Southampton,Man United,0.769616,1.90356
West Ham,Norwich,2.20657,1.1674
Arsenal,Tottenham,1.92509,1.95514
Everton,Wolves,1.48842,2.00172
Brighton,Burnley,1.68545,0.341654
Liverpool,Newcastle,2.93281,0.291073
Man United,Leicester,1.10019,0.459141
Norwich,Man City,1.7413,2.34436
Sheffield United,Southampton,1.88034,1.57659
Tottenham,Crystal Palace,1.04944,0.577323
Wolves,Chelsea,1.49359,3.06799
Bournemouth,Everton,1.41542,1.50641
Watford,Arsenal,2.83209,1.00616
Aston Villa,West Ham,1.40502,0.535279
Southampton,Bournemouth,2.18021,1.29773
Burnley,Norwich,2.39312,0.801428
Everton,Sheffield United,1.26041,0.508011
Leicester,Tottenham,1.28752,1.33735
Man City,Watford,6.63049,0.344718
Newcastle,Brighton,1.09807,1.21592
Arsenal,Aston Villa,2.53209,1.71546
Chelsea,Liverpool,1.23321,1.03003
Crystal Palace,Wolves,0.984777,1.75572
West Ham,Man United,0.51376,1.27826
Aston Villa,Burnley,0.914266,1.66919
Bournemouth,West Ham,2.31957,1.29546
Chelsea,Brighton,4.26443,0.616263
Crystal Palace,Norwich,1.80497,0.712129
Everton,Man City,2.35854,3.1082
Sheffield United,Liverpool,1.17022,1.97079
Tottenham,Southampton,1.19008,1.16256
Wolves,Watford,1.16363,1.06615
Leicester,Newcastle,1.82438,0.054134
Man United,Arsenal,1.1335,1.70399
Brighton,Tottenham,2.60017,0.478504
Burnley,Everton,0.558912,1.30723
Liverpool,Leicester,3.74867,0.0982107
Norwich,Aston Villa,1.84838,3.67827
Watford,Sheffield United,1.44318,0.353724
West Ham,Crystal Palace,1.23577,2.0682
Arsenal,Bournemouth,1.24109,0.683967
Man City,Wolves,1.61884,1.18825
Newcastle,Man United,0.650296,0.969204
Southampton,Chelsea,1.27044,2.15201
Aston Villa,Brighton,2.96692,1.32184
Bournemouth,Norwich,0.675554,0.402873
Chelsea,Newcastle,2.30068,0.197082
Crystal Palace,Man City,0.616864,4.02104
Everton,West Ham,2.23324,0.459112
Leicester,Burnley,0.8291,1.79569
Tottenham,Watford,0.891617,0.846851
Wolves,Southampton,0.887495,1.37695
Man United,Liverpool,0.791862,1.03212
Sheffield United,Arsenal,0.895722,0.949735
Southampton,Leicester,0.457334,4.38046
Brighton,Everton,1.15279,1.04723
Burnley,Chelsea,2.23494,0.988321
Man City,Aston Villa,3.19004,0.980145
Watford,Bournemouth,0.674903,0.899526
West Ham,Sheffield United,2.33891,1.16171
Arsenal,Crystal Palace,1.54014,1.77892
Liverpool,Tottenham,2.18851,1.35143
Newcastle,Wolves,0.603104,1.93255
Norwich,Man United,0.8924,4.51232
Arsenal,Wolves,1.02552,1.5103
Aston Villa,Liverpool,0.741615,2.38824
Bournemouth,Man United,1.86862,0.641129
Brighton,Norwich,2.65496,0.455082
Man City,Southampton,3.36132,0.893889
Sheffield United,Burnley,2.58392,0.716613
Watford,Chelsea,1.4744,2.18313
West Ham,Newcastle,1.53597,1.93192
Crystal Palace,Leicester,0.44291,0.981167
Everton,Tottenham,1.15532,0.243393
Norwich,Watford,0.62104,1.36017
Burnley,West Ham,2.4158,0.474281
Chelsea,Crystal Palace,3.28903,0.479488
Leicester,Arsenal,1.37055,0.961339
Newcastle,Bournemouth,2.3306,1.9213
Southampton,Everton,0.742281,2.08883
Tottenham,Sheffield United,1.5104,0.923443
Liverpool,Man City,1.3319,1.48104
Man United,Brighton,3.65299,1.1342
Wolves,Aston Villa,2.09891,0.473225
Arsenal,Southampton,1.60823,2.60312
Bournemouth,Wolves,0.849789,1.2765
Brighton,Leicester,0.784706,3.50917
Crystal Palace,Liverpool,1.02306,1.64291
Everton,Norwich,0.812693,1.80849
Man City,Chelsea,1.23596,0.820474
Watford,Burnley,0.902384,2.66281
West Ham,Tottenham,0.661449,2.20681
Sheffield United,Man United,1.56025,1.33065
Aston Villa,Newcastle,2.6985,0.69784
Burnley,Crystal Palace,1.8509,0.936732
Chelsea,West Ham,2.73185,1.12034
Liverpool,Brighton,1.36832,0.867601
Newcastle,Man City,0.208252,2.44389
Southampton,Watford,1.9671,0.504005
Tottenham,Bournemouth,2.93189,1.02949
Leicester,Everton,2.24348,1.24986
Man United,Aston Villa,1.84804,1.29701
Norwich,Arsenal,0.810596,1.96157
Wolves,Sheffield United,1.27422,1.47296
Burnley,Man City,0.486548,2.56057
Crystal Palace,Bournemouth,0.383763,0.342799
Chelsea,Aston Villa,1.9774,0.86086
Leicester,Watford,2.28735,0.199733
Liverpool,Everton,2.41397,1.76453
Man United,Tottenham,1.47683,0.542315
Southampton,Norwich,2.00232,0.896647
Wolves,West Ham,1.82237,0.501977
Arsenal,Brighton,0.965377,1.53446
Sheffield United,Newcastle,1.09175,0.533775
Bournemouth,Liverpool,0.154608,3.04446
Everton,Chelsea,2.03892,1.25734
Man City,Man United,2.07108,1.63385
Tottenham,Burnley,2.39684,1.08645
Watford,Crystal Palace,1.57132,0.210746
Aston Villa,Leicester,1.24141,4.03286
Brighton,Wolves,0.951621,1.87208
Newcastle,Southampton,1.10449,1.89255
Norwich,Sheffield United,0.585805,0.712899
West Ham,Arsenal,0.521847,1.79181
Burnley,Newcastle,1.43602,1.08726
Chelsea,Bournemouth,2.02119,1.20777
